"lon","lat"
-118.75,44.5
-118.125,44.5
-117.5,44.5
-116.875,44.5
-116.25,44.5
-115.625,44.5
-115,44.5
-114.375,44.5
-113.75,44.5
-113.125,44.5
-112.5,44.5
-111.875,44.5
-111.25,44.5
-110.625,44.5
-110,44.5
-109.375,44.5
-108.75,44.5
-108.125,44.5
-107.5,44.5
-106.875,44.5
-128.75,45
-128.125,45
-127.5,45
-126.875,45
-126.25,45
-125.625,45
-125,45
-124.375,45
-123.75,45
-123.125,45
-122.5,45
-121.875,45
-121.25,45
-120.625,45
-120,45
-119.375,45
-118.75,45
-118.125,45
-117.5,45
-116.875,45
-116.25,45
-115.625,45
-115,45
-114.375,45
-113.75,45
-113.125,45
-112.5,45
-111.875,45
-111.25,45
-110.625,45
-110,45
-109.375,45
-108.75,45
-108.125,45
-107.5,45
-106.875,45
-128.75,45.5
-128.125,45.5
-127.5,45.5
-126.875,45.5
-126.25,45.5
-125.625,45.5
-125,45.5
-124.375,45.5
-123.75,45.5
-123.125,45.5
-122.5,45.5
-121.875,45.5
-121.25,45.5
-120.625,45.5
-120,45.5
-119.375,45.5
-118.75,45.5
-118.125,45.5
-117.5,45.5
-116.875,45.5
-116.25,45.5
-115.625,45.5
-115,45.5
-114.375,45.5
-113.75,45.5
-113.125,45.5
-112.5,45.5
-111.875,45.5
-111.25,45.5
-110.625,45.5
-110,45.5
-109.375,45.5
-108.75,45.5
-108.125,45.5
-107.5,45.5
-106.875,45.5
-128.75,46
-128.125,46
-127.5,46
-126.875,46
-126.25,46
-125.625,46
-125,46
-124.375,46
-123.75,46
-123.125,46
-122.5,46
-121.875,46
-121.25,46
-120.625,46
-120,46
-119.375,46
-118.75,46
-118.125,46
-117.5,46
-116.875,46
-116.25,46
-115.625,46
-115,46
-114.375,46
-113.75,46
-113.125,46
-112.5,46
-111.875,46
-111.25,46
-110.625,46
-110,46
-109.375,46
-108.75,46
-108.125,46
-107.5,46
-106.875,46
-128.75,46.5
-128.125,46.5
-127.5,46.5
-126.875,46.5
-126.25,46.5
-125.625,46.5
-125,46.5
-124.375,46.5
-123.75,46.5
-123.125,46.5
-122.5,46.5
-121.875,46.5
-121.25,46.5
-120.625,46.5
-120,46.5
-119.375,46.5
-118.75,46.5
-118.125,46.5
-117.5,46.5
-116.875,46.5
-116.25,46.5
-115.625,46.5
-115,46.5
-114.375,46.5
-113.75,46.5
-113.125,46.5
-112.5,46.5
-111.875,46.5
-111.25,46.5
-110.625,46.5
-110,46.5
-109.375,46.5
-108.75,46.5
-108.125,46.5
-107.5,46.5
-106.875,46.5
-128.75,47
-128.125,47
-127.5,47
-126.875,47
-126.25,47
-125.625,47
-125,47
-124.375,47
-123.75,47
-123.125,47
-122.5,47
-121.875,47
-121.25,47
-120.625,47
-120,47
-119.375,47
-118.75,47
-118.125,47
-117.5,47
-116.875,47
-116.25,47
-115.625,47
-115,47
-114.375,47
-113.75,47
-113.125,47
-112.5,47
-111.875,47
-111.25,47
-110.625,47
-110,47
-109.375,47
-108.75,47
-108.125,47
-107.5,47
-106.875,47
-128.75,47.5
-128.125,47.5
-127.5,47.5
-126.875,47.5
-126.25,47.5
-125.625,47.5
-125,47.5
-124.375,47.5
-123.75,47.5
-123.125,47.5
-122.5,47.5
-121.875,47.5
-121.25,47.5
-120.625,47.5
-120,47.5
-119.375,47.5
-118.75,47.5
-118.125,47.5
-117.5,47.5
-116.875,47.5
-116.25,47.5
-115.625,47.5
-115,47.5
-114.375,47.5
-113.75,47.5
-113.125,47.5
-112.5,47.5
-111.875,47.5
-111.25,47.5
-110.625,47.5
-110,47.5
-109.375,47.5
-108.75,47.5
-108.125,47.5
-107.5,47.5
-106.875,47.5
-128.75,48
-128.125,48
-127.5,48
-126.875,48
-126.25,48
-125.625,48
-125,48
-124.375,48
-123.75,48
-123.125,48
-122.5,48
-121.875,48
-121.25,48
-120.625,48
-120,48
-119.375,48
-118.75,48
-118.125,48
-117.5,48
-116.875,48
-116.25,48
-115.625,48
-115,48
-114.375,48
-113.75,48
-113.125,48
-112.5,48
-111.875,48
-111.25,48
-110.625,48
-110,48
-109.375,48
-108.75,48
-108.125,48
-107.5,48
-106.875,48
-128.75,48.5
-128.125,48.5
-127.5,48.5
-126.875,48.5
-126.25,48.5
-125.625,48.5
-125,48.5
-124.375,48.5
-123.75,48.5
-123.125,48.5
-122.5,48.5
-121.875,48.5
-121.25,48.5
-120.625,48.5
-120,48.5
-119.375,48.5
-118.75,48.5
-118.125,48.5
-117.5,48.5
-116.875,48.5
-116.25,48.5
-115.625,48.5
-115,48.5
-114.375,48.5
-113.75,48.5
-113.125,48.5
-112.5,48.5
-111.875,48.5
-111.25,48.5
-110.625,48.5
-110,48.5
-109.375,48.5
-108.75,48.5
-108.125,48.5
-107.5,48.5
-106.875,48.5
-128.75,49
-128.125,49
-127.5,49
-126.875,49
-126.25,49
-125.625,49
-125,49
-124.375,49
-123.75,49
-123.125,49
-122.5,49
-121.875,49
-121.25,49
-120.625,49
-120,49
-119.375,49
-118.75,49
-118.125,49
-117.5,49
-116.875,49
-116.25,49
-115.625,49
-115,49
-114.375,49
-113.75,49
-113.125,49
-112.5,49
-111.875,49
-111.25,49
-110.625,49
-110,49
-109.375,49
-108.75,49
-108.125,49
-107.5,49
-106.875,49
-128.75,49.5
-128.125,49.5
-127.5,49.5
-126.875,49.5
-126.25,49.5
-125.625,49.5
-125,49.5
-124.375,49.5
-123.75,49.5
-123.125,49.5
-122.5,49.5
-121.875,49.5
-121.25,49.5
-120.625,49.5
-120,49.5
-119.375,49.5
-118.75,49.5
-118.125,49.5
-117.5,49.5
-116.875,49.5
-116.25,49.5
-115.625,49.5
-115,49.5
-114.375,49.5
-113.75,49.5
-113.125,49.5
-112.5,49.5
-111.875,49.5
-111.25,49.5
-110.625,49.5
-110,49.5
-109.375,49.5
-108.75,49.5
-108.125,49.5
-107.5,49.5
-106.875,49.5
-128.75,50
-128.125,50
-127.5,50
-126.875,50
-126.25,50
-125.625,50
-125,50
-124.375,50
-123.75,50
-123.125,50
-122.5,50
-121.875,50
-121.25,50
-120.625,50
-120,50
-119.375,50
-118.75,50
-118.125,50
-117.5,50
-116.875,50
-116.25,50
-115.625,50
-115,50
-114.375,50
-113.75,50
-113.125,50
-112.5,50
-111.875,50
-111.25,50
-110.625,50
-110,50
-109.375,50
-108.75,50
-108.125,50
-107.5,50
-106.875,50
-128.75,50.5
-128.125,50.5
-127.5,50.5
-126.875,50.5
-126.25,50.5
-125.625,50.5
-125,50.5
-124.375,50.5
-123.75,50.5
-123.125,50.5
-122.5,50.5
-121.875,50.5
-121.25,50.5
-120.625,50.5
-120,50.5
-119.375,50.5
-118.75,50.5
-118.125,50.5
-117.5,50.5
-116.875,50.5
-116.25,50.5
-115.625,50.5
-115,50.5
-114.375,50.5
-113.75,50.5
-113.125,50.5
-112.5,50.5
-111.875,50.5
-111.25,50.5
-110.625,50.5
-110,50.5
-109.375,50.5
-108.75,50.5
-108.125,50.5
-107.5,50.5
-106.875,50.5
-128.75,51
-128.125,51
-127.5,51
-126.875,51
-126.25,51
-125.625,51
-125,51
-124.375,51
